6,19,1575
7,19,1372
12,4,1351
24,8,1623
27,8,607
30,8,1528
31,14,285
40,5,183
41,19,68
42,13,497
44,6,446
45,8,2018
50,9,2193
51,3,768
52,12,462
53,17,1247
54,9,2218
55,4,82
58,8,2522
59,14,482
68,5,2072
78,19,1757
79,17,386
80,13,1045
81,8,2051
84,19,285
85,19,2232
86,7,252
94,15,420
95,7,951
122,9,1816
123,11,208
124,19,1266
125,17,827
126,6,1542
127,16,272
128,6,1319
129,5,2037
130,5,213
131,4,1364
132,5,631
133,13,192
134,1,63
135,7,784
145,13,1401
150,6,509
151,17,268
164,9,199
168,6,630
169,19,675
170,19,1169
171,19,1178
174,6,1012
175,3,74
176,3,806
177,3,592
180,9,111
181,17,1745
188,7,654
196,4,2164
197,8,641
208,11,207
209,10,717
210,9,1759
211,3,106
223,14,80
226,12,495
227,8,2049
240,17,1784
241,4,263
242,12,179
243,15,280
246,8,1921
247,15,336
249,6,1391
252,4,2323
253,6,600
256,8,310
257,15,120
263,10,258
264,13,1760
265,19,438
280,17,160
281,15,285
284,6,481
285,3,821
292,13,2266
293,3,516
302,13,1078
303,5,1348
314,8,308
315,17,195
316,7,752
326,15,263
332,19,2130
333,17,1782
336,13,196
337,6,1311
338,11,219
341,8,1860
342,13,745
343,8,699
350,13,2373
351,7,214
356,9,2636
357,13,440
360,19,1264
361,3,1184
364,14,54
365,9,1952
371,17,887
374,15,486
375,3,1981
378,15,308
379,19,273
380,4,1237
382,15,347
383,4,2234
392,4,786
402,4,1472
403,17,2002
410,7,550
411,9,2681
422,17,222
429,4,770
434,5,522
435,8,2354
436,17,519
456,8,118
457,6,100
459,17,28
464,9,810
465,9,2789
473,4,1278
482,17,1670
483,16,175
490,8,88
491,17,805
493,5,293
494,17,1437
495,15,239
506,14,424
514,9,1077
516,1,280
517,4,297
518,4,1157
519,6,979
520,6,1335
521,5,392
530,17,1436
538,13,1003
539,5,2446
540,4,580
541,4,704
542,4,646
543,19,1491
546,8,2696
547,13,879
548,3,274
549,19,1809
554,13,779
555,11,112
556,17,1175
557,3,1021
560,19,1288
561,4,833
568,13,1166
569,17,403
590,5,1316
591,3,825
600,12,397
601,3,1059
622,8,1180
623,9,2143
629,5,1663
632,1,62
633,17,2013
638,4,703
639,8,1989
644,2,193
652,6,983
653,9,512
656,3,2159
657,10,366
666,13,2229
667,14,26
670,4,2081
671,1,97
673,19,39
676,6,1054
677,14,130
689,3,2030
698,17,64
699,6,768
702,13,1916
703,5,921
704,4,1751
705,10,52
716,7,468
717,13,524
720,13,2269
721,9,2152
722,17,676
723,17,1965
724,19,208
725,5,860
726,17,228
753,13,1589
760,8,102
761,10,307
765,8,22
768,9,883
769,3,1428
778,9,1431
779,9,474
780,17,1786
781,3,1816
782,9,1142
783,17,1194
784,17,1472
785,3,457
792,19,1027
794,19,1490
806,6,1121
807,9,1774
812,12,455
813,19,1401
815,17,608
818,9,1688
819,5,2501
828,5,842
837,5,591
838,13,2609
839,9,1949
856,3,942
857,3,1817
862,4,344
863,5,2686
866,13,2648
867,15,170
870,8,2319
871,4,268
872,18,126
873,3,1048
875,5,1166
876,7,803
877,11,213
881,6,974
884,10,641
885,3,2165
888,13,2245
889,13,27
893,1,198
904,9,870
905,19,1662
906,9,2358
910,14,487
911,2,232
912,8,1953
913,9,1229
918,7,568
919,9,950
920,5,2730
921,9,938
926,8,277
927,8,1081
930,17,1402
931,18,44
962,4,22
963,5,45
964,19,764
965,4,336
968,13,1868
969,4,444
972,9,1408
973,17,544
976,5,1299
1004,5,1207
1005,15,466
1014,4,1590
1015,13,129
1018,4,639
1019,13,356
1028,19,1873
1032,1,6
1033,9,722
1035,3,1512
1042,12,354
1043,3,1649
1056,7,236
1057,12,468
1073,4,1417
1077,15,123
1086,4,353
1087,17,225
1090,3,1808
1094,7,413
1095,11,378
1100,10,83
1101,14,377
1105,9,1308
1106,19,57
1107,5,255
1112,13,2222
1113,3,535
1114,7,564
1116,2,393
1117,5,1867
1122,3,888
1123,19,1990
1126,3,198
1127,4,2046
