6,2.33,80,40
7,2.25,88,54
12,2.4,50,31
24,2.43,100,76
27,1.74,46,18
30,1.33,3,2
31,2.83,86,61
40,5.38,90,114
41,2.88,78,58
44,4.01,86,88
45,4.15,107,113
50,2.85,66,43
51,3.71,82,73
52,2.84,74,55
53,4.0,7,10
54,2.82,62,54
55,3.32,93,70
58,3.24,107,99
59,2.63,88,69
68,3.37,99,102
78,3.74,108,88
79,3.0,80,53
81,4.01,93,104
84,2.41,79,33
85,3.32,120,94
86,3.89,119,98
94,2.73,78,36
95,3.2,108,82
122,2.07,74,34
123,5.37,108,137
124,1.71,49,31
125,3.89,66,62
127,3.77,87,82
128,3.63,87,60
130,4.91,117,106
131,4.89,91,138
132,5.21,117,132
134,2.54,80,46
135,1.18,22,7
150,3.49,115,101
151,2.39,80,65
164,2.48,67,31
169,2.92,107,80
170,3.79,75,74
171,2.0,85,32
175,5.47,74,88
176,4.67,89,110
177,2.85,75,53
180,2.9,100,59
181,3.17,126,103
188,4.14,109,100
196,3.4,115,77
197,3.63,107,86
208,4.63,105,154
209,1.33,6,3
210,3.49,122,118
211,3.79,84,82
223,4.16,90,94
226,3.25,81,53
227,3.09,90,71
240,4.53,118,113
241,1.84,49,21
242,2.16,69,32
243,3.22,93,71
246,2.65,40,19
247,1.81,32,18
249,3.02,92,66
252,2.63,87,58
253,3.07,104,90
256,3.61,83,92
257,4.61,76,83
263,2.43,76,57
265,2.67,80,45
280,4.45,100,116
281,3.68,82,79
284,3.16,93,71
285,2.6,70,55
292,3.62,29,29
293,2.73,79,43
303,2.78,85,57
314,2.94,89,61
315,3.04,102,69
316,2.23,83,29
326,2.17,70,28
332,4.57,93,109
333,2.39,96,51
337,1.55,67,14
338,2.0,2,0
341,4.37,93,110
343,2.46,67,49
350,3.15,86,57
351,3.03,99,66
356,2.11,88,44
360,2.93,88,61
361,1.42,43,17
364,3.54,56,42
365,2.78,85,65
371,3.13,86,78
374,3.12,102,76
375,1.89,54,27
378,3.02,104,67
379,3.1,107,78
380,3.39,88,98
383,2.27,97,64
392,3.14,111,74
402,3.87,94,103
403,3.97,119,110
410,2.07,59,25
411,2.55,110,83
422,2.46,78,46
429,2.84,83,61
434,2.77,70,51
435,3.88,91,82
436,3.37,107,96
456,1.57,14,3
457,3.2,83,65
459,3.44,93,87
464,2.5,66,44
465,4.97,121,151
473,4.73,96,102
482,3.14,107,75
483,1.88,88,54
490,2.44,84,62
491,2.0,7,1
493,5.49,115,122
494,2.16,90,49
495,4.02,103,119
506,2.63,127,82
514,3.83,117,119
516,2.78,102,80
517,3.72,111,99
518,4.68,44,53
519,3.72,79,69
520,1.65,55,16
521,5.88,119,189
530,2.65,85,45
539,2.42,69,50
540,5.83,117,214
542,4.63,92,108
543,4.68,117,138
546,4.31,127,145
548,4.52,89,103
549,4.79,115,131
555,4.93,94,105
556,1.93,97,52
557,2.0,12,9
560,2.17,70,39
561,3.63,98,77
569,2.84,95,56
590,2.49,86,59
591,4.53,118,122
600,4.26,81,67
601,2.86,86,56
622,3.75,112,108
623,3.95,93,84
629,4.35,104,79
632,1.63,70,24
633,3.5,102,86
639,2.91,79,43
644,3.53,94,69
652,3.92,97,89
653,3.65,65,31
657,2.33,73,49
666,3.24,58,40
667,4.96,96,104
670,3.32,92,60
671,3.64,100,91
673,2.62,92,47
677,3.73,15,23
698,2.64,77,58
699,2.77,97,68
703,3.96,115,89
704,1.0,1,1
705,1.64,44,17
716,2.13,79,37
720,3.72,88,79
721,3.32,113,80
722,3.71,98,81
723,4.33,66,73
724,1.0,3,0
725,4.33,61,52
726,2.91,78,61
760,2.36,78,55
761,3.21,114,85
765,3.5,132,129
768,3.18,107,82
778,4.08,116,115
779,2.73,85,63
780,3.46,109,67
782,3.06,126,99
783,3.99,106,81
784,4.49,125,139
785,4.14,117,140
792,2.7,89,54
806,2.73,82,54
807,2.34,92,63
813,3.77,118,95
815,3.64,96,93
818,2.58,91,51
828,4.67,80,93
837,2.71,7,8
838,3.29,86,54
839,3.27,82,54
856,3.24,42,38
857,1.91,79,32
862,3.08,98,85
863,3.24,108,85
866,3.0,87,44
867,4.3,57,41
870,1.57,53,19
871,3.55,89,81
872,4.19,98,93
873,2.14,65,35
875,3.53,88,67
876,1.62,29,9
877,3.87,111,86
884,2.5,106,76
888,3.27,51,42
893,1.75,44,21
904,3.81,113,118
905,4.82,119,126
906,1.46,13,8
910,3.85,109,102
911,4.18,92,109
