31083,POS消费,地点12,文印中心,2014/09/01 01:05:12,0.7,61.47
31083,POS消费,地点21,开水,2014/09/01 07:12:47,7.0,54.47
31083,POS消费,地点21,开水,2014/09/01 07:12:53,-7.0,61.47
31083,POS消费,地点21,开水,2014/09/01 07:13:03,0.7,60.77
31083,POS消费,地点21,开水,2014/09/01 07:14:36,3.6,57.17
31083,POS消费,地点91,校车,2014/09/01 11:36:58,8.6,48.57
31083,POS消费,地点818,食堂,2014/09/01 18:12:16,9.6,38.97
31083,POS消费,地点21,开水,2014/09/01 18:15:47,5.0,33.97
31083,POS消费,地点241,食堂,2014/09/02 07:58:28,5.83,28.14
31083,POS消费,地点821,食堂,2014/09/02 12:18:49,8.6,19.54
31083,POS消费,地点525,食堂,2014/09/02 18:15:34,9.6,9.94
31083,POS消费,地点91,校车,2014/09/03 07:22:21,6.93,3.01
31083,卡充值,,,2014/09/03 12:47:04,200.0,203.01
31083,POS消费,地点1961,超市,2014/09/03 12:54:01,17.3,185.71
31083,POS消费,地点268,食堂,2014/09/03 17:51:03,9.6,176.11
31083,POS消费,地点91,校车,2014/09/04 07:32:56,4.46,170.85
31083,POS消费,地点2003,淋浴,2014/09/04 08:15:21,0.8,175.31
31083,POS消费,地点1065,开水,2014/09/04 08:38:40,0.01,170.84
31083,POS消费,地点6,淋浴,2014/09/04 11:41:02,9.6,161.24
31083,POS消费,地点167,食堂,2014/09/04 17:40:14,9.6,151.64
31083,POS消费,地点266,食堂,2014/09/05 07:04:37,4.4,146.34
31083,POS消费,地点525,食堂,2014/09/05 11:11:10,8.6,137.74
31083,POS消费,地点941,淋浴,2014/09/05 13:55:02,0.9,150.74
31083,POS消费,地点1065,开水,2014/09/05 14:20:09,0.01,137.73
31083,POS消费,地点310,食堂,2014/09/05 17:17:10,8.1,129.63
31083,POS消费,地点2004,淋浴,2014/09/05 22:51:00,1.0,128.63
31083,POS消费,地点2004,淋浴,2014/09/05 23:01:08,0.1,128.53
31083,POS消费,地点167,食堂,2014/09/06 07:04:41,3.83,124.7
31083,POS消费,地点91,校车,2014/09/06 17:13:02,6.6,118.1
