732,POS消费,地点78,其他,2013/09/01 07:01:42,0.4,184.13
732,POS消费,地点244,食堂,2013/09/01 11:24:39,5.6,189.16
732,POS消费,地点167,食堂,2013/09/01 17:22:49,4.6,184.53
732,POS消费,地点21,开水,2013/09/02 07:01:42,2.0,182.13
732,POS消费,地点68,开水,2013/09/02 08:19:12,0.03,189.13
732,POS消费,地点241,食堂,2013/09/02 12:06:45,4.6,177.53
732,POS消费,地点65,食堂,2013/09/02 18:02:08,4.1,173.43
732,POS消费,地点190,超市,2013/09/02 21:55:09,9.5,163.93
732,POS消费,地点21,开水,2013/09/03 07:03:03,2.0,161.93
732,POS消费,地点564,开水,2013/09/03 07:04:01,0.01,161.92
732,POS消费,地点154,食堂,2013/09/03 11:52:33,4.7,157.22
732,POS消费,地点202,开水,2013/09/03 12:06:07,0.01,157.21
732,POS消费,地点59,食堂,2013/09/03 17:25:49,4.6,152.61
732,POS消费,地点551,淋浴,2013/09/03 22:04:14,0.3,152.31
732,POS消费,地点154,食堂,2013/09/04 07:08:56,4.5,147.81
732,POS消费,地点694,开水,2013/09/04 07:16:39,0.01,147.8
732,POS消费,地点21,开水,2013/09/04 11:51:11,3.1,144.7
732,POS消费,地点207,开水,2013/09/04 15:52:50,0.01,144.69
732,POS消费,地点21,开水,2013/09/04 17:59:20,4.6,140.09
732,POS消费,地点190,超市,2013/09/04 21:08:56,9.5,130.59
732,POS消费,地点266,食堂,2013/09/05 08:16:27,1.2,129.39
732,POS消费,地点202,开水,2013/09/05 12:08:09,0.01,129.38
732,POS消费,地点266,食堂,2013/09/05 17:15:38,5.6,123.78
732,POS消费,地点658,淋浴,2013/09/05 21:52:44,0.3,123.48
732,POS消费,地点21,开水,2013/09/06 08:36:13,0.7,122.78
732,POS消费,地点21,开水,2013/09/06 08:36:22,2.0,120.78
732,POS消费,地点794,开水,2013/09/06 08:44:17,0.01,120.77
732,POS消费,地点91,校车,2013/09/06 11:19:46,4.6,116.17
732,POS消费,地点68,开水,2013/09/06 14:36:58,0.04,116.13
732,POS消费,地点819,食堂,2013/09/06 17:11:56,5.6,110.53
732,POS消费,地点820,食堂,2013/09/07 11:09:50,4.6,105.93
732,POS消费,地点821,食堂,2013/09/07 11:13:39,5.1,100.83
732,POS消费,地点818,食堂,2013/09/07 17:08:29,4.6,96.23
732,POS消费,地点845,淋浴,2013/09/07 23:09:52,0.4,95.83
732,POS消费,地点818,食堂,2013/09/08 11:13:25,4.6,91.23
732,POS消费,地点794,开水,2013/09/08 14:12:56,0.01,91.22
732,POS消费,地点158,食堂,2013/09/08 17:25:01,5.6,85.62
732,POS消费,地点91,校车,2013/09/09 07:08:47,3.1,82.52
732,POS消费,地点694,开水,2013/09/09 07:23:20,0.01,82.51
732,POS消费,地点818,食堂,2013/09/09 11:10:22,4.6,77.91
732,POS消费,地点68,开水,2013/09/09 11:38:21,0.04,77.87
732,POS消费,地点677,开水,2013/09/09 13:19:32,0.01,77.86
732,POS消费,地点65,食堂,2013/09/09 18:04:09,4.6,73.26
732,POS消费,地点551,淋浴,2013/09/09 22:56:11,0.1,73.16
732,POS消费,地点63,淋浴,2013/09/09 22:57:21,0.4,72.76
732,POS消费,地点21,开水,2013/09/10 08:06:48,2.8,69.96
732,POS消费,地点65,食堂,2013/09/10 12:00:15,5.1,64.86
732,POS消费,地点794,开水,2013/09/10 16:23:51,0.01,64.85
732,POS消费,地点91,校车,2013/09/10 17:23:58,4.6,60.25
732,POS消费,地点68,开水,2013/09/10 22:36:12,0.07,60.18
732,POS消费,地点21,开水,2013/09/11 07:17:16,2.4,57.78
732,POS消费,地点21,开水,2013/09/11 11:52:38,4.6,53.18
732,POS消费,地点158,食堂,2013/09/11 17:54:32,4.1,49.08
732,POS消费,地点551,淋浴,2013/09/11 21:39:28,0.4,48.68
732,POS消费,地点21,开水,2013/09/12 07:12:40,1.6,47.08
732,POS消费,地点247,食堂,2013/09/12 18:04:52,10.0,37.08
732,POS消费,地点158,食堂,2013/09/13 08:09:41,1.6,35.48
732,POS消费,地点831,开水,2013/09/13 09:41:24,0.01,35.47
732,POS消费,地点162,食堂,2013/09/13 11:49:36,4.6,30.87
732,POS消费,地点68,开水,2013/09/13 12:04:21,0.03,30.84
732,圈存转账,,,2013/09/13 18:04:03,200.0,230.84
732,POS消费,地点190,超市,2013/09/13 18:10:13,27.0,203.84
732,POS消费,地点845,淋浴,2013/09/13 22:07:50,0.1,203.74
732,POS消费,地点551,淋浴,2013/09/13 22:08:41,0.1,203.64
732,POS消费,地点845,淋浴,2013/09/13 22:08:59,0.1,203.54
732,POS消费,地点645,淋浴,2013/09/13 22:09:58,0.3,203.24
732,POS消费,地点662,淋浴,2013/09/13 22:12:22,0.1,203.14
732,POS消费,地点645,淋浴,2013/09/13 22:12:36,0.5,202.64
732,POS消费,地点91,校车,2013/09/14 08:33:01,2.0,200.64
732,POS消费,地点59,食堂,2013/09/14 11:43:46,3.6,197.04
732,POS消费,地点794,开水,2013/09/14 14:42:32,0.01,197.03
732,POS消费,地点821,食堂,2013/09/14 17:31:08,5.6,191.43
732,POS消费,地点167,食堂,2013/09/15 08:34:44,2.6,188.83
732,POS消费,地点676,开水,2013/09/15 08:42:17,0.01,188.82
732,POS消费,地点279,食堂,2013/09/15 11:10:01,4.6,184.22
732,POS消费,地点68,开水,2013/09/15 11:39:18,0.02,184.2
732,POS消费,地点232,食堂,2013/09/15 17:28:01,7.1,177.1
732,POS消费,地点551,淋浴,2013/09/15 21:03:35,0.1,177.0
732,POS消费,地点845,淋浴,2013/09/15 21:03:58,0.1,176.9
732,POS消费,地点658,淋浴,2013/09/15 21:04:18,0.4,176.5
732,POS消费,地点21,开水,2013/09/16 08:00:12,2.0,174.5
732,POS消费,地点91,校车,2013/09/16 12:04:28,1.8,172.7
732,POS消费,地点257,食堂,2013/09/16 12:10:34,1.8,170.9
732,POS消费,地点91,校车,2013/09/16 18:04:12,1.8,169.1
732,POS消费,地点257,食堂,2013/09/16 18:06:25,1.8,167.3
732,POS消费,地点63,淋浴,2013/09/16 21:47:24,0.1,167.2
732,POS消费,地点645,淋浴,2013/09/16 21:47:38,0.1,167.1
732,POS消费,地点63,淋浴,2013/09/16 21:47:58,0.4,166.7
732,POS消费,地点167,食堂,2013/09/17 08:06:39,2.0,164.7
732,POS消费,地点91,校车,2013/09/17 11:56:51,4.6,160.1
732,POS消费,地点68,开水,2013/09/17 12:13:02,0.02,160.08
732,POS消费,地点238,食堂,2013/09/17 18:38:56,10.0,150.08
732,POS消费,地点658,淋浴,2013/09/17 21:46:47,0.5,149.58
732,POS消费,地点21,开水,2013/09/18 08:11:04,2.0,147.58
732,POS消费,地点818,食堂,2013/09/18 11:48:04,5.6,141.98
732,POS消费,地点91,校车,2013/09/18 17:16:18,5.6,136.38
732,POS消费,地点63,淋浴,2013/09/18 22:14:17,0.5,135.88
732,POS消费,地点59,食堂,2013/09/19 08:45:06,2.6,133.28
732,POS消费,地点91,校车,2013/09/19 11:20:51,1.6,131.68
732,POS消费,地点21,开水,2013/09/19 11:28:28,1.8,129.88
732,POS消费,地点238,食堂,2013/09/19 17:34:36,10.0,119.88
732,POS消费,地点68,开水,2013/09/19 18:10:11,0.03,119.85
732,POS消费,地点845,淋浴,2013/09/19 22:26:17,0.4,119.45
732,POS消费,地点57,食堂,2013/09/20 08:31:06,1.4,118.05
732,POS消费,地点59,食堂,2013/09/21 11:01:21,5.6,112.45
732,POS消费,地点91,校车,2013/09/21 17:24:00,4.1,108.35
732,POS消费,地点845,淋浴,2013/09/21 21:35:09,0.4,107.95
732,,,,2013/09/22 08:27:42,5.0,102.95
732,POS消费,地点21,开水,2013/09/22 08:28:02,2.0,100.95
732,POS消费,地点687,开水,2013/09/22 08:32:57,0.01,100.94
732,POS消费,地点819,食堂,2013/09/22 11:31:46,5.6,95.34
732,POS消费,地点821,食堂,2013/09/22 18:00:36,4.6,90.74
732,POS消费,地点241,食堂,2013/09/23 08:11:43,2.0,88.74
732,POS消费,地点530,开水,2013/09/23 08:41:30,0.01,88.73
732,POS消费,地点91,校车,2013/09/23 11:58:47,4.6,84.13
732,POS消费,地点68,开水,2013/09/23 12:23:46,0.04,84.09
732,POS消费,地点244,食堂,2013/09/23 18:00:45,4.6,79.49
732,POS消费,地点645,淋浴,2013/09/23 22:31:32,0.5,78.99
732,POS消费,地点21,开水,2013/09/24 08:12:44,2.0,76.99
732,POS消费,地点91,校车,2013/09/24 11:59:22,1.8,75.19
732,POS消费,地点257,食堂,2013/09/24 12:00:58,1.8,73.39
732,POS消费,地点818,食堂,2013/09/24 17:16:39,5.6,67.79
732,POS消费,地点241,食堂,2013/09/25 08:14:29,2.0,65.79
732,POS消费,地点677,开水,2013/09/25 08:16:55,0.01,65.78
732,POS消费,地点292,超市,2013/09/25 12:08:40,4.8,60.98
732,POS消费,地点821,食堂,2013/09/25 17:57:17,5.6,55.38
732,POS消费,地点845,淋浴,2013/09/25 21:50:10,0.4,54.98
732,POS消费,地点21,开水,2013/09/26 08:05:48,2.0,52.98
732,POS消费,地点91,校车,2013/09/26 11:57:35,4.6,48.38
732,POS消费,地点821,食堂,2013/09/26 17:31:34,5.6,42.78
732,POS消费,地点649,开水,2013/09/27 07:46:34,0.06,42.72
732,POS消费,地点21,开水,2013/09/27 08:05:43,2.8,39.92
732,POS消费,地点91,校车,2013/09/27 11:11:47,4.5,35.42
732,POS消费,地点257,食堂,2013/09/27 11:25:12,1.8,33.62
732,POS消费,地点279,食堂,2013/09/27 17:20:18,5.6,28.02
732,POS消费,地点658,淋浴,2013/09/27 22:49:21,0.1,27.92
732,POS消费,地点645,淋浴,2013/09/27 22:50:16,0.8,27.12
732,POS消费,地点63,淋浴,2013/09/27 23:11:39,0.2,26.92
732,POS消费,地点241,食堂,2013/09/28 11:19:46,4.6,22.32
732,POS消费,地点244,食堂,2013/09/28 17:25:17,5.6,16.72
732,POS消费,地点21,开水,2013/09/29 08:15:42,2.0,14.72
732,圈存转账,,,2013/09/29 08:25:01,200.0,214.72
732,POS消费,地点821,食堂,2013/09/29 11:25:05,5.0,209.72
732,POS消费,地点821,食堂,2013/09/29 11:25:08,5.6,204.12
732,POS消费,地点68,开水,2013/09/29 12:23:03,0.01,204.11
732,POS消费,地点779,开水,2013/09/29 12:23:37,0.01,204.1
732,POS消费,地点821,食堂,2013/09/29 18:01:22,5.6,198.5
732,POS消费,地点845,淋浴,2013/09/29 21:58:49,0.4,198.1
732,POS消费,地点21,开水,2013/09/30 08:05:48,2.0,196.1
732,POS消费,地点279,食堂,2013/09/30 12:01:37,4.6,191.5
732,POS消费,地点821,食堂,2013/09/30 18:00:12,5.6,185.9
732,POS消费,地点202,开水,2013/10/01 09:17:25,0.01,185.89
732,POS消费,地点268,食堂,2013/10/01 11:54:51,4.6,181.29
732,POS消费,地点244,食堂,2013/10/01 11:55:53,2.0,179.29
732,POS消费,地点21,开水,2013/10/01 17:41:10,3.1,176.19
732,POS消费,地点195,超市,2013/10/01 18:37:09,13.5,162.69
732,POS消费,地点845,淋浴,2013/10/01 20:07:17,0.4,162.29
732,POS消费,地点661,洗衣房,2013/10/01 20:28:36,1.2,161.09
732,POS消费,地点661,洗衣房,2013/10/01 20:28:36,-1.08,162.17
732,POS消费,地点779,开水,2013/10/01 20:30:35,0.01,162.16
732,POS消费,地点661,洗衣房,2013/10/01 20:31:26,1.2,160.96
732,POS消费,地点661,洗衣房,2013/10/01 20:51:49,-0.9,160.66
732,POS消费,地点661,洗衣房,2013/10/01 20:51:49,1.2,159.76
732,POS消费,地点91,校车,2013/10/02 11:42:08,5.6,149.46
