32269,POS消费,地点12,文印中心,2014/09/01 11:23:29,5.0,157.2
32269,POS消费,地点6,淋浴,2014/09/01 11:37:22,0.8,156.4
32269,POS消费,地点188,超市,2014/09/01 12:08:01,8.5,147.9
32269,POS消费,地点286,食堂,2014/09/01 17:38:51,6.6,141.3
32269,POS消费,地点841,食堂,2014/09/01 17:42:53,4.0,137.3
32269,POS消费,地点21,开水,2014/09/01 20:27:36,3.0,134.3
32269,POS消费,地点1874,淋浴,2014/09/01 22:04:26,0.3,134.0
32269,POS消费,地点310,食堂,2014/09/02 07:22:44,2.23,131.77
32269,POS消费,地点105,食堂,2014/09/02 07:23:34,0.8,130.97
32269,POS消费,地点267,食堂,2014/09/02 11:41:17,9.6,121.37
32269,POS消费,地点21,开水,2014/09/02 12:14:16,13.0,108.37
32269,POS消费,地点279,食堂,2014/09/02 17:40:01,4.6,103.77
32269,POS消费,地点70,食堂,2014/09/02 17:41:05,2.0,101.77
32269,POS消费,地点21,开水,2014/09/02 20:29:57,16.8,84.97
32269,POS消费,地点21,开水,2014/09/02 20:34:28,3.0,81.97
32269,POS消费,地点1874,淋浴,2014/09/02 22:39:58,0.6,81.37
32269,POS消费,地点244,食堂,2014/09/03 07:48:03,2.0,79.37
32269,POS消费,地点840,食堂,2014/09/03 12:08:45,5.1,74.27
32269,POS消费,地点167,食堂,2014/09/03 18:11:18,4.6,69.67
32269,POS消费,地点21,开水,2014/09/03 20:35:32,3.0,66.67
32269,POS消费,地点192,超市,2014/09/03 20:52:47,13.6,53.07
32269,POS消费,地点1917,淋浴,2014/09/03 22:28:44,0.5,52.57
32269,POS消费,地点241,食堂,2014/09/04 08:01:36,3.03,49.54
32269,POS消费,地点310,食堂,2014/09/04 12:05:13,7.6,41.94
32269,POS消费,地点841,食堂,2014/09/04 12:09:52,3.8,38.14
32269,POS消费,地点841,食堂,2014/09/04 12:10:02,-3.8,41.94
32269,POS消费,地点841,食堂,2014/09/04 12:10:04,3.0,38.94
32269,POS消费,地点27,教务处,2014/09/04 12:36:00,10.0,28.94
32269,POS消费,地点279,食堂,2014/09/04 18:04:13,5.6,23.34
32269,POS消费,地点268,食堂,2014/09/05 07:30:11,3.63,13.21
32269,卡充值,,,2014/09/05 12:43:46,200.0,213.21
32269,POS消费,地点1917,淋浴,2014/09/05 13:58:48,0.5,16.84
32269,POS消费,地点268,食堂,2014/09/05 17:36:19,4.6,208.61
32269,POS消费,地点21,开水,2014/09/05 21:31:26,3.0,205.61
32269,POS消费,地点188,超市,2014/09/05 21:42:52,11.9,193.71
32269,POS消费,地点1875,淋浴,2014/09/05 22:44:23,0.5,193.21
32269,POS消费,地点91,校车,2014/09/06 07:30:35,4.2,189.01
32269,POS消费,地点167,食堂,2014/09/06 11:42:02,4.6,184.41
32269,POS消费,地点167,食堂,2014/09/06 11:42:16,4.6,179.81
32269,POS消费,地点244,食堂,2014/09/06 17:41:02,5.6,174.21
32269,POS消费,地点21,开水,2014/09/06 20:11:04,3.0,171.21
32269,POS消费,地点1606,淋浴,2014/09/06 21:23:25,0.4,170.81
32269,POS消费,地点91,校车,2014/09/07 07:04:57,2.33,168.48
32269,POS消费,地点241,食堂,2014/09/07 11:29:31,6.6,161.88
32269,POS消费,地点257,食堂,2014/09/07 17:28:21,3.0,158.88
32269,POS消费,地点818,食堂,2014/09/07 17:31:18,5.6,153.28
32269,POS消费,地点21,开水,2014/09/07 20:17:56,3.0,150.28
32269,POS消费,地点1645,淋浴,2014/09/07 21:34:40,0.5,149.78
