817,POS消费,地点1098,文印中心,2014/09/01 10:36:41,0.6,48.6
817,POS消费,地点91,校车,2014/09/01 11:39:06,2.7,45.9
817,POS消费,地点21,开水,2014/09/02 11:47:51,4.1,41.8
817,POS消费,地点21,开水,2014/09/02 11:50:20,4.5,37.3
817,POS消费,地点1961,超市,2014/09/02 16:12:12,1.5,35.8
817,POS消费,地点1961,超市,2014/09/02 16:12:30,3.5,32.3
817,POS消费,地点37,淋浴,2014/09/03 00:13:39,1.1,31.2
817,POS消费,地点21,开水,2014/09/03 11:22:40,3.0,28.2
817,POS消费,地点1961,超市,2014/09/03 12:36:52,3.9,24.3
817,POS消费,地点21,开水,2014/09/03 15:59:07,5.0,19.3
817,POS消费,地点21,开水,2014/09/03 17:10:00,4.4,14.9
817,POS消费,地点190,超市,2014/09/03 22:12:44,6.4,8.5
817,POS消费,地点232,食堂,2014/09/04 11:19:21,1.9,6.6
817,卡充值,,,2014/09/04 11:34:00,70.0,76.6
817,POS消费,地点21,开水,2014/09/05 09:49:20,4.5,71.0
817,POS消费,地点283,食堂,2014/09/05 12:00:36,5.5,65.5
817,POS消费,地点307,食堂,2014/09/05 12:01:52,3.0,62.5
817,POS消费,地点21,开水,2014/09/05 12:14:15,4.0,58.5
817,POS消费,地点200,淋浴,2014/09/05 13:55:37,0.1,76.5
817,POS消费,地点652,淋浴,2014/09/05 13:55:52,1.0,75.5
817,POS消费,地点232,食堂,2014/09/05 17:30:12,2.1,56.4
817,POS消费,地点21,开水,2014/09/05 17:30:40,4.0,52.4
817,POS消费,地点232,食堂,2014/09/05 17:31:59,0.8,51.6
817,POS消费,地点21,开水,2014/09/05 17:42:05,1.0,50.6
817,POS消费,地点654,淋浴,2014/09/06 00:29:07,0.3,50.3
817,POS消费,地点1961,超市,2014/09/06 13:59:28,3.0,47.3
817,POS消费,地点1961,超市,2014/09/06 15:43:18,5.0,42.3
817,POS消费,地点214,超市,2014/09/06 17:07:10,6.0,36.3
817,POS消费,地点214,超市,2014/09/06 17:07:45,4.4,31.9
817,POS消费,地点996,图书馆,2014/09/07 08:57:40,1.1,30.8
