16442,POS消费,地点78,其他,2013/09/04 11:55:01,0.3,44.7
16442,卡充值,,,2013/09/04 12:26:35,80.0,80.0
16442,POS消费,地点21,开水,2013/09/04 12:32:47,14.6,65.4
16442,POS消费,地点21,开水,2013/09/04 12:33:10,14.0,51.4
16442,POS消费,地点21,开水,2013/09/04 12:33:13,0.6,50.8
16442,POS消费,地点217,食堂,2013/09/04 12:36:09,5.8,45.0
16442,POS消费,地点83,食堂,2013/09/05 11:55:01,5.5,39.2
16442,POS消费,地点612,淋浴,2013/09/05 19:21:38,0.2,39.0
16442,POS消费,地点57,食堂,2013/09/06 07:47:10,3.1,35.9
16442,POS消费,地点110,开水,2013/09/06 12:53:35,0.02,35.88
16442,POS消费,地点825,淋浴,2013/09/06 18:58:19,0.2,35.68
16442,卡充值,,,2013/09/08 11:21:12,100.0,135.68
16442,POS消费,地点157,食堂,2013/09/08 11:32:11,10.6,125.08
16442,POS消费,地点203,食堂,2013/09/08 18:13:52,5.5,119.58
16442,POS消费,地点203,食堂,2013/09/08 18:14:39,2.0,117.58
16442,POS消费,地点612,淋浴,2013/09/08 22:14:23,0.2,117.38
16442,POS消费,地点21,开水,2013/09/09 08:03:40,2.3,115.08
16442,POS消费,地点61,食堂,2013/09/09 11:01:46,3.6,111.48
16442,POS消费,地点65,食堂,2013/09/09 11:02:26,4.0,107.48
16442,POS消费,地点21,开水,2013/09/09 11:03:02,1.5,105.98
16442,POS消费,地点218,食堂,2013/09/09 18:35:41,2.9,103.08
16442,POS消费,地点203,食堂,2013/09/09 18:39:13,7.5,95.58
16442,POS消费,地点62,淋浴,2013/09/09 19:10:54,0.3,95.28
16442,POS消费,地点27,教务处,2013/09/09 22:46:01,0.1,95.18
16442,POS消费,地点21,开水,2013/09/10 08:05:44,2.3,92.88
16442,POS消费,地点21,开水,2013/09/10 11:34:58,1.5,91.38
16442,POS消费,地点21,开水,2013/09/10 11:35:10,1.5,89.88
16442,POS消费,地点239,食堂,2013/09/10 11:39:14,12.0,77.88
16442,POS消费,地点239,食堂,2013/09/10 11:39:36,5.0,72.88
16442,POS消费,地点242,食堂,2013/09/10 11:40:09,1.5,71.38
16442,POS消费,地点251,食堂,2013/09/10 11:41:06,1.8,69.58
16442,POS消费,地点251,食堂,2013/09/10 11:41:23,1.8,67.78
16442,POS消费,地点251,食堂,2013/09/10 11:41:33,1.5,66.28
16442,POS消费,地点237,食堂,2013/09/10 11:46:15,1.0,65.28
16442,POS消费,地点21,开水,2013/09/10 11:58:22,0.35,64.93
16442,POS消费,地点218,食堂,2013/09/10 12:04:32,5.8,59.13
