30935,POS消费,地点12,文印中心,2014/09/01 06:44:28,1.0,344.56
30935,POS消费,地点266,食堂,2014/09/01 07:34:28,6.5,338.06
30935,POS消费,地点232,食堂,2014/09/01 11:41:47,10.0,328.06
30935,POS消费,地点820,食堂,2014/09/01 18:13:40,12.6,315.46
30935,POS消费,地点257,食堂,2014/09/02 07:53:41,2.5,312.36
30935,POS消费,地点525,食堂,2014/09/02 07:59:08,2.0,310.36
30935,POS消费,地点272,食堂,2014/09/02 12:17:22,9.0,301.36
30935,POS消费,地点258,食堂,2014/09/02 12:25:41,4.8,296.56
30935,POS消费,地点941,淋浴,2014/09/02 16:42:35,0.6,314.86
30935,POS消费,地点154,食堂,2014/09/02 18:15:58,5.0,291.56
30935,POS消费,地点257,食堂,2014/09/02 18:19:50,3.0,288.56
30935,POS消费,地点941,淋浴,2014/09/03 06:05:52,1.2,287.36
30935,POS消费,地点91,校车,2014/09/03 07:20:47,6.53,280.83
30935,POS消费,地点241,食堂,2014/09/03 11:46:27,10.4,270.43
30935,POS消费,地点257,食堂,2014/09/03 11:47:29,3.0,267.43
30935,POS消费,地点1961,超市,2014/09/03 12:45:41,29.3,238.13
30935,POS消费,地点154,食堂,2014/09/03 17:48:43,5.0,233.13
30935,POS消费,地点257,食堂,2014/09/03 17:50:19,3.0,230.13
30935,POS消费,地点167,食堂,2014/09/04 07:31:47,2.5,226.43
30935,POS消费,地点167,食堂,2014/09/04 07:32:03,4.63,221.8
30935,POS消费,地点2003,淋浴,2014/09/04 08:15:33,1.2,228.93
30935,POS消费,地点91,校车,2014/09/04 11:38:08,8.6,213.2
30935,POS消费,地点91,校车,2014/09/04 11:38:20,1.0,212.2
30935,POS消费,地点257,食堂,2014/09/04 11:41:26,3.0,209.2
30935,POS消费,地点219,超市,2014/09/04 15:11:57,3.0,206.2
30935,POS消费,地点245,食堂,2014/09/04 17:41:16,6.8,199.4
30935,POS消费,地点257,食堂,2014/09/04 17:44:13,3.0,196.4
30935,POS消费,地点268,食堂,2014/09/05 07:03:41,7.53,187.77
30935,POS消费,地点244,食堂,2014/09/05 11:12:14,8.6,179.17
30935,POS消费,地点841,食堂,2014/09/05 11:12:36,3.0,176.17
30935,POS消费,地点257,食堂,2014/09/05 11:13:45,3.0,173.17
30935,卡充值,,,2014/09/05 11:31:41,200.0,373.17
30935,POS消费,地点2003,淋浴,2014/09/05 13:54:58,1.1,195.3
30935,POS消费,地点219,超市,2014/09/05 15:12:21,3.0,370.17
30935,POS消费,地点21,开水,2014/09/05 17:17:40,10.0,360.17
30935,POS消费,地点2003,淋浴,2014/09/06 05:58:14,1.0,359.17
30935,POS消费,地点1686,食堂,2014/09/06 07:03:30,6.8,352.37
30935,POS消费,地点219,超市,2014/09/06 10:08:11,5.0,347.37
30935,POS消费,地点21,开水,2014/09/06 11:17:06,1.7,345.67
30935,POS消费,地点21,开水,2014/09/06 11:21:17,1.36,344.31
30935,POS消费,地点21,开水,2014/09/06 11:25:27,1.8,342.51
30935,POS消费,地点272,食堂,2014/09/06 17:26:56,10.0,332.51
30935,POS消费,地点219,超市,2014/09/06 19:22:14,7.0,325.51
30935,POS消费,地点2003,淋浴,2014/09/07 05:59:10,1.0,324.51
30935,POS消费,地点105,食堂,2014/09/07 07:38:43,3.83,320.68
30935,POS消费,地点162,食堂,2014/09/07 07:43:00,0.7,319.98
30935,POS消费,地点219,超市,2014/09/07 10:16:58,5.0,314.98
30935,POS消费,地点272,食堂,2014/09/07 11:49:01,9.0,305.98
30935,POS消费,地点219,超市,2014/09/07 14:13:08,20.0,285.98
30935,POS消费,地点219,超市,2014/09/07 15:03:21,5.0,280.98
30935,POS消费,地点6,淋浴,2014/09/08 07:08:31,3.8,276.38
