29956,卡片开户,,,2014/07/18 10:57:08,0.0,0.0
29956,卡充值,,,2014/08/30 14:43:05,500.0,500.0
29956,POS消费,地点114,食堂,2014/08/30 14:45:02,2.5,497.5
29956,POS消费,地点184,食堂,2014/08/30 17:57:01,3.7,493.8
29956,POS消费,地点114,食堂,2014/08/30 18:07:11,3.5,490.3
29956,POS消费,地点1890,开水,2014/08/30 20:21:23,0.14,490.16
29956,POS消费,地点1321,淋浴,2014/08/30 21:30:43,0.4,489.76
29956,POS消费,地点21,开水,2014/08/31 08:05:24,2.6,487.16
29956,POS消费,地点21,开水,2014/08/31 11:05:25,5.2,481.96
29956,POS消费,地点1321,淋浴,2014/08/31 20:13:43,0.1,481.86
29956,POS消费,地点1321,淋浴,2014/08/31 20:14:09,0.7,481.16
29956,POS消费,地点1890,开水,2014/08/31 21:45:22,0.05,481.11
